SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
4.7,3.2,1.3,0.2,0
4.6,3.1,1.5,0.2,0
5.4,3.9,1.7,0.4,0
4.4,2.9,1.4,0.2,0
4.9,3.1,1.5,0.1,0
4.8,3.4,1.6,0.2,0
4.3,3,1.1,0.1,0
5.7,4.4,1.5,0.400000000000001,0
5.7,3.8,1.7,0.3,0
5.1,3.8,1.5,0.3,0
5.1,3.7,1.5,0.4,0
5,3,1.6,0.2,0
5,3.4,1.6,0.4,0
4.8,3.1,1.6,0.2,0
4.9,3.1,1.5,0.1,0
5,3.2,1.2,0.2,0
4.9,3.1,1.5,0.1,0
5.1,3.4,1.5,0.2,0
4.4,3.2,1.3,0.2,0
5,3.5,1.6,0.6,0
4.8,3,1.4,0.3,0
4.6,3.2,1.4,0.2,0
5,3.3,1.4,0.2,0
5.5,2.4,3.8,1.1,0
5.5,2.3,4,1.3,0
6.1,3,4.6,1.4,0
6.3,2.7,4.9,1.8,0
5.8,2.7,5.1,1.9,0
5.9,3,5.1,1.8,0
5.3,3.7,1.5,0.200000000000001,1
5.5,4.2,1.4,0.200000000000001,1
4.5,2.3,1.3,0.300000000000001,1
6.40000000000001,3.2,4.5,1.5,1
6.90000000000001,3.1,4.9,1.5,1
6.50000000000001,2.8,4.6,1.5,1
6.30000000000001,3.3,4.7,1.6,1
4.9,2.4,3.3,1,1
5.2,2.7,3.9,1.4,1
6,2.2,4,1,1
6.70000000000001,3.1,4.4,1.4,1
5.6,3,4.5,1.5,1
5.8,2.7,4.1,1,1
6.2,2.2,4.5,1.5,1
5.9,3.2,4.8,1.8,1
6.1,2.8,4,1.3,1
6.40000000000001,2.9,4.3,1.3,1
5.5,2.4,3.7,1,1
5.4,3,4.5,1.5,1
6,3.4,4.5,1.6,1
6.3,2.3,4.4,1.3,1
5.6,3,4.1,1.3,1
5.8,2.6,4,1.2,1
5.6,2.7,4.2,1.3,1
5.7,2.8,4.1,1.3,1
7.1,3,5.9,2.1,1
7.70000000000001,3.8,6.7,2.2,1
6.50000000000001,3,5.5,1.8,1
6.40000000000001,3.2,5.3,2.3,1
6.70000000000001,3.1,5.6,2.4,1
6.40000000000001,2.7,5.3,1.9,1
6.30000000000001,2.8,5.1,1.5,1
5.10000000000001,3.8,1.6,0.2,2
5.10000000000001,3.8,1.9,0.4,2
4.70000000000001,3.2,1.6,0.2,2
5.00000000000001,3.6,1.4,0.2,2
4.80000000000001,3,1.4,0.1,2
4.60000000000001,3.4,1.4,0.3,2
5.50000000000001,3.5,1.3,0.2,2
6.20000000000001,2.9,4.30000000000001,1.3,2
6.80000000000001,2.8,4.80000000000001,1.4,2
5.00000000000001,2.3,3.3,1,2
6.10000000000001,2.8,4.70000000000001,1.2,2
5.70000000000001,2.6,3.5,1,2
6.70000000000001,3.1,4.70000000000001,1.5,2
6.30000000000001,2.9,5.6,1.8,2
6.50000000000001,3,5.80000000000001,2.2,2
7.60000000000001,3,6.60000000000001,2.1,2
4.90000000000001,2.5,4.5,1.7,2
7.30000000000001,2.9,6.30000000000001,1.8,2
6.70000000000001,2.5,5.80000000000001,1.8,2
7.20000000000001,3.6,6.10000000000001,2.5,2
6.50000000000001,3.2,5.1,2,2
6.80000000000001,3,5.50000000000001,2.1,2
5.80000000000001,2.8,5.1,2.4,2
7.70000000000001,2.6,6.90000000000001,2.3,2
6.70000000000001,3.3,5.70000000000001,2.1,2
6.10000000000001,3,4.90000000000001,1.8,2
6.40000000000001,2.8,5.6,2.1,2
7.20000000000001,3,5.80000000000001,1.6,2
7.40000000000001,2.8,6.10000000000001,1.9,2
6.10000000000001,2.6,5.6,1.4,2
6.30000000000001,3.4,5.6,2.4,2
6.90000000000001,3.1,5.1,2.3,2
6.70000000000001,3.3,5.70000000000001,2.5,2
6.70000000000001,3,5.20000000000001,2.3,2
6.30000000000001,2.5,5.00000000000001,1.9,2
6.20000000000001,3.4,5.40000000000001,2.3,2
